mainFloorLengthInFt,mainFloorBreadthInFt,ceilingHeightInFt,numberOfFloors,numberOfKitchens,numberOfStandaloneToilets,numberOfFullBathrooms,numberOfRooms,priceOfBagOfCement,priceOfTripOfSand,priceOfWaterInLiters,priceOfDoorD1,priceOfDoorD2,priceOfDoorD3,priceOfWindowW1,priceOfWindowW2,priceOfTilesPerM2,priceOfGraniteInTonnes,priceOfSteelPerM3,priceOfCostOfRoofHalfPlot,estimatedBlocksNeeded,estimatedCementBagsNeeded,estimatedConcreteNeeded,estimatedCost,estimatedCostOfRoofing,estimatedNumDoors,estimatedNumDoorsD1,estimatedNumDoorsD2,estimatedNumDoorsD3,estimatedNumWindows,estimatedNumWindowsW1,estimatedNumWindowsW2,estimatedPricePerConcreteInM3,estimatedSandInTonnesNeeded,estimatedVolumeOfSlabNeeded,estimatedTripsOfSandsNeeded,estimatedSteelNeeded
226.96,491.09,10.43,5.50,9.26,3.79,5.15,6.46,4370.88,43172.71,9.89,16185.98,11975.22,6843.52,45107.12,43630.16,5607.70,22320.33,667299.50,1688912.30,854904.67,45784.65,3039.63,529703218.87,7941628.86,41.82,6.50,26.38,8.94,160.34,151.40,8.94,72273.21,22744.99,1052.61,3668.55,30.40
47.70,341.68,14.23,3.12,5.07,0.63,3.78,2.73,8261.62,51635.93,5.51,21001.11,16227.60,10388.61,51574.59,39198.58,7410.58,21066.07,412723.18,1013152.13,158710.67,8440.54,555.83,136200149.04,1821767.14,19.00,4.12,10.48,4.41,32.56,28.15,4.41,98504.62,4213.33,153.92,679.57,5.56
493.09,295.49,12.35,8.61,1.42,3.59,1.34,8.62,8504.08,39744.40,5.74,15180.24,15147.09,6602.93,48205.52,48434.04,6814.40,19955.59,672967.34,1439510.91,2165281.39,97550.39,5068.43,1427007127.29,7739104.65,46.56,9.61,32.01,4.94,229.62,224.69,4.94,96525.60,54743.58,1375.99,8829.61,50.68
279.47,258.03,15.45,8.86,8.45,6.78,8.88,4.79,6564.39,51860.82,9.33,24549.02,17307.40,6460.52,37250.52,26239.22,5563.38,17594.66,442523.24,1009807.13,1355381.60,58327.89,2781.95,785850702.05,3819305.47,46.14,9.86,20.62,15.66,109.56,93.89,15.66,82165.64,33841.88,681.01,5458.37,27.82
247.79,58.82,11.67,6.74,6.64,1.34,0.65,9.16,7589.67,32939.05,7.17,21731.62,12922.81,6438.80,45505.76,32443.75,5993.35,16933.98,736930.77,1276172.05,522545.97,23293.32,1187.67,292756716.30,2170061.91,29.50,7.74,19.77,1.99,77.13,75.14,1.99,84729.50,13172.58,137.65,2124.61,11.88
53.30,326.15,14.32,1.13,8.29,8.23,6.28,8.61,7020.12,55415.43,5.33,18856.73,13366.03,7430.60,35561.75,27836.10,6199.09,23496.79,700526.55,1315684.47,106860.66,6640.15,510.97,102978182.19,2443326.16,36.15,2.13,19.51,14.51,92.07,77.55,14.51,94002.80,2985.75,164.18,481.57,5.11
188.54,30.17,13.15,3.07,4.84,8.84,4.88,0.52,7254.72,45679.01,8.93,26417.88,18991.64,6826.88,38588.18,25131.71,6013.18,17340.06,282012.99,1549019.02,72342.36,3851.51,253.96,54327036.75,1645401.96,22.36,4.07,4.56,13.73,19.97,6.24,13.73,85479.07,1921.14,53.71,309.86,2.54
316.86,53.07,12.97,6.33,0.09,3.54,8.65,4.54,6836.31,36092.74,8.06,24937.27,19759.04,11817.99,63872.47,37793.20,6193.80,24858.36,571240.28,1652473.57,402811.68,18275.50,961.18,236397896.79,3018018.98,32.83,7.33,13.30,12.19,55.51,43.32,12.19,91720.65,10203.97,158.80,1645.80,9.61
43.46,126.26,14.79,7.25,7.00,2.87,8.33,3.61,5749.95,28876.01,5.49,15082.11,19165.09,7056.05,64007.83,46703.08,6729.42,17427.12,551343.41,1160421.94,257773.00,10991.48,514.57,113487599.72,1210704.33,28.57,8.25,9.13,11.19,31.63,20.44,11.19,71605.47,6420.41,51.82,1035.55,5.15
330.76,162.23,9.01,9.97,4.90,8.89,9.06,3.15,4139.78,55810.10,8.99,25131.76,17731.37,6993.43,46309.91,31245.30,6975.74,18079.70,612169.43,1426711.44,1015542.96,44943.69,2261.64,526646898.13,4654777.61,45.23,10.97,16.31,17.95,75.13,57.18,17.95,66543.48,25549.60,506.74,4120.90,22.62
232.96,73.98,13.88,8.95,7.72,4.02,4.33,2.51,5266.46,42751.31,8.65,16527.69,20571.61,8958.43,67015.75,48535.10,5562.54,21447.49,306562.24,1279829.56,543527.11,22881.52,1042.92,260922925.42,2366438.01,28.64,9.95,10.34,8.35,35.54,27.19,8.35,77005.94,13491.92,162.76,2176.12,10.43
54.53,192.93,9.89,4.99,2.59,4.55,1.13,0.85,4242.32,30983.12,6.78,24556.48,17799.69,7018.68,46746.03,34743.52,7023.51,18035.46,496122.80,1137567.46,136182.99,7008.06,443.45,70170341.66,1643432.67,18.08,5.99,6.41,5.68,16.27,10.59,5.68,62505.50,3578.81,99.36,577.23,4.43
295.68,204.82,13.25,8.08,8.36,7.60,5.68,2.84,4634.04,54187.34,5.36,22145.88,14320.14,9233.84,62379.19,32809.09,5796.65,20184.78,335865.98,1187266.92,847535.75,38597.46,2043.06,467561992.84,4115166.00,38.93,9.08,16.57,13.29,69.34,56.05,13.29,72250.16,21492.21,571.93,3466.49,20.43
307.43,358.85,14.59,4.47,4.35,2.74,4.38,7.52,7143.61,34231.92,5.38,24642.00,20916.90,9450.01,63074.31,38234.38,7336.39,21565.04,426907.34,822430.31,799036.61,42336.15,2775.78,571765016.01,3847435.98,40.47,5.47,27.88,7.12,179.76,172.64,7.12,88331.33,21187.59,1041.86,3417.35,27.76
196.84,309.94,12.21,9.41,4.95,2.72,2.13,3.50,8187.87,36537.26,8.84,22798.03,19911.83,9693.23,49516.90,37996.81,7123.06,24536.62,504842.71,1626120.80,1059042.80,46492.06,2304.69,673638886.17,5656986.86,32.86,10.41,17.59,4.85,71.18,66.33,4.85,100906.58,26585.38,576.14,4287.96,23.05
440.34,387.86,13.17,1.44,4.26,3.97,1.85,5.28,7992.20,32335.51,8.60,16296.36,14229.11,6900.67,40618.62,48641.24,7428.70,23445.19,737611.50,920437.37,248163.93,23967.96,2407.70,430162698.95,5357560.69,36.83,2.44,28.58,5.82,162.79,156.97,5.82,97168.41,8263.58,1612.90,1332.84,24.08
462.95,111.90,9.83,2.35,8.73,7.54,3.18,9.28,4950.03,44720.15,7.74,19166.19,12510.84,9656.74,67316.77,39597.04,5679.04,23322.38,627705.84,1110476.34,264191.12,17292.44,1388.42,215674275.81,3559852.31,39.37,3.35,25.30,10.71,154.14,143.43,10.71,77740.30,7517.94,489.22,1212.57,13.88
64.48,272.43,9.95,1.50,0.15,4.56,2.83,9.91,7094.19,36655.09,5.82,21473.22,15770.23,8836.29,35798.65,46036.19,6691.83,20465.55,658800.17,905285.10,101839.22,6832.37,559.00,93844912.43,1689962.69,31.38,2.50,21.49,7.39,96.10,88.70,7.39,86870.85,2923.89,165.90,471.60,5.59
318.74,229.57,12.01,6.99,6.29,6.84,2.90,4.27,8817.03,35959.29,7.83,17437.42,20862.10,10594.51,45354.24,46497.49,6093.36,22723.50,400080.59,1214969.69,821863.01,39586.98,2289.56,596942905.46,4628922.86,37.65,7.99,19.93,9.73,95.49,85.76,9.73,102408.64,21177.01,691.02,3415.65,22.90
338.81,138.17,15.97,2.26,9.83,7.39,9.22,1.26,7821.68,46250.91,6.93,27382.92,20000.38,7873.85,45083.22,39295.53,6235.24,22740.12,678489.36,1000736.15,160428.53,10643.75,863.54,181387933.04,3049648.28,32.59,3.26,12.71,16.61,44.51,27.90,16.61,97137.79,4587.47,442.10,739.92,8.64
459.29,87.42,11.08,7.95,9.51,0.28,0.46,4.78,6865.95,35545.11,9.83,18756.92,14705.26,11899.21,46393.34,34062.15,6710.19,20498.87,744264.00,1588055.23,786485.62,35464.82,1845.56,452798254.82,4481931.17,26.87,8.95,17.19,0.74,70.61,69.88,0.74,85728.99,19889.25,379.19,3207.94,18.46
106.72,496.29,10.36,2.75,8.01,7.37,4.10,5.27,7685.13,33730.63,7.51,23440.58,20627.28,6940.49,41554.16,47263.38,6513.59,16448.02,748528.83,846672.71,248717.13,16107.11,1282.46,230371501.13,2744383.69,34.63,3.75,19.41,11.47,98.75,87.28,11.47,84877.79,7050.77,500.17,1137.22,12.82
256.67,101.95,12.14,3.92,3.82,5.86,9.10,7.95,4898.75,49441.82,7.73,19910.91,17521.10,11449.70,56094.67,27898.15,6640.24,23868.95,568478.41,1409676.58,325886.04,16875.99,1076.27,208936889.09,3211730.14,39.89,4.92,20.02,14.96,103.44,88.48,14.96,79007.62,8580.54,247.12,1383.96,10.76
458.26,205.98,12.74,8.95,9.33,9.47,0.29,1.25,8212.71,35736.27,5.94,22859.07,20335.16,7528.99,67714.20,43722.30,6871.78,17948.83,388525.90,1292203.42,975829.81,45557.78,2512.00,657759107.19,5591616.84,36.95,9.95,17.24,9.76,49.21,39.45,9.76,90880.67,24919.43,891.41,4019.26,25.12
69.09,253.93,15.94,4.39,4.23,1.23,0.62,6.44,8369.38,43286.04,7.04,22476.88,21862.41,7094.10,40526.20,45788.93,6833.21,17701.11,379036.93,1274964.81,308520.28,14540.36,813.73,211767091.82,2378432.04,23.53,5.39,16.29,1.85,61.81,59.95,1.85,93106.05,7899.85,165.67,1274.17,8.14
254.40,453.77,14.27,9.37,7.01,0.75,6.95,10.00,6495.63,48110.78,9.94,22839.77,12677.88,10867.21,67547.72,47956.61,5681.34,20430.84,301133.34,1063569.30,2611889.42,110699.21,5117.86,1434457751.72,5089618.17,50.05,10.37,31.98,7.70,236.95,229.25,7.70,85260.98,64950.31,1090.19,10475.86,51.18
374.03,104.36,12.42,6.68,8.44,9.09,1.19,0.70,7253.87,31248.17,6.21,27426.02,15417.86,10248.07,48472.48,32352.21,6861.81,19364.89,332625.36,1694579.96,430535.59,20879.12,1219.59,275909181.57,4715376.60,28.90,7.68,10.93,10.28,28.85,18.57,10.28,85488.80,11115.64,368.61,1792.84,12.20
264.42,471.21,9.20,1.23,6.54,1.60,3.93,8.11,4339.20,36453.73,6.23,21332.58,19545.51,9454.59,46197.12,45954.72,6932.83,23899.73,587856.30,1002558.82,188172.14,19177.23,1968.99,255873830.85,4984363.78,37.56,2.23,29.81,5.53,202.01,196.48,5.53,72628.58,6422.01,1176.69,1035.81,19.69
351.54,352.46,13.38,7.80,4.95,2.27,8.21,8.81,6854.16,28630.44,9.15,27874.43,13309.12,7037.56,36187.28,40493.65,5905.79,17407.47,451458.02,881807.97,1863884.72,84450.98,4431.37,978012150.35,4371822.62,50.09,8.80,30.81,10.48,221.86,211.38,10.48,79812.04,47198.08,1170.15,7612.59,44.31
497.37,451.71,13.18,7.29,1.64,2.95,5.88,1.49,8666.43,44201.19,8.45,17442.75,11988.21,10684.78,46507.14,45812.00,6190.88,17606.65,698852.40,1166614.28,1159366.05,62917.49,4240.33,1037589312.60,7788237.73,43.06,8.29,25.94,8.83,76.77,67.94,8.83,95418.82,30973.98,2121.71,4995.80,42.40
524.41,210.32,11.95,1.84,7.76,2.69,3.16,2.79,6245.21,28582.69,9.19,23041.88,14517.21,6990.83,40895.63,30196.14,5695.31,23830.09,505351.21,997920.49,192697.56,17203.40,1668.49,259751968.41,4667777.47,29.48,2.84,20.79,5.85,80.30,74.45,5.85,84931.40,6197.64,1041.58,999.62,16.68
32.85,361.57,13.84,7.13,5.12,0.43,8.96,4.54,4154.29,52025.63,9.31,23529.89,12974.15,10496.22,60995.83,33718.10,5845.97,20290.35,665182.32,989249.09,471437.65,20326.59,973.15,226455780.59,1518568.14,29.78,8.13,12.26,9.39,45.76,36.37,9.39,69258.93,11777.11,112.18,1899.53,9.73
244.00,159.56,15.34,9.89,1.53,7.27,8.48,4.66,6676.95,42961.71,8.87,21356.93,20964.71,7070.06,46732.85,29299.52,5656.92,19557.25,366379.10,1661762.26,1123233.74,46297.59,2014.03,589189727.58,4618126.76,43.48,10.89,16.85,15.74,83.07,67.33,15.74,84188.51,27728.13,367.67,4472.28,20.14
348.56,61.63,13.18,3.61,1.47,0.94,8.09,6.33,5081.47,40203.83,5.61,27094.76,21082.15,8358.83,39210.88,38394.52,6436.97,22015.60,373638.06,1287851.29,260961.00,13480.10,857.03,155955544.90,2658553.96,30.46,4.61,16.82,9.03,74.32,65.29,9.03,75638.69,6865.82,202.87,1107.39,8.57
384.53,419.74,14.82,8.64,3.92,2.17,8.89,6.35,7728.63,34801.92,5.02,17990.53,18121.53,7394.92,53693.54,36811.66,5681.95,19686.12,322057.94,1550466.75,2131339.35,95480.83,4911.78,1267662860.18,8773200.81,50.32,9.64,29.62,11.06,190.64,179.58,11.06,89727.18,53801.37,1524.24,8677.64,49.12
189.31,518.70,11.10,7.48,9.71,3.28,4.38,1.70,4799.99,49805.39,9.72,26098.43,17300.81,6715.04,54139.75,43968.25,6859.67,21123.66,646163.98,1623559.88,831781.99,41571.16,2532.39,536253437.89,7165643.01,34.36,8.48,18.22,7.65,56.65,49.00,7.65,74668.04,21666.95,927.33,3494.67,25.32
89.82,415.06,15.83,2.89,3.44,4.45,9.56,6.96,7089.58,28768.57,9.82,27010.73,15708.86,6610.02,46082.85,38847.09,5771.78,16465.03,341930.17,925047.25,318937.77,17003.13,1122.89,207919524.37,2515611.08,38.00,3.89,20.10,14.01,107.70,93.69,14.01,80208.87,8473.35,352.06,1366.67,11.23
432.25,321.18,9.90,4.45,7.86,3.91,5.90,8.48,4325.40,29236.75,5.19,25108.30,17530.81,9373.47,45143.10,39361.59,7404.88,19630.04,575671.14,1311587.07,802324.42,46964.36,3423.48,489223792.78,6882993.10,46.60,5.45,31.34,9.81,225.83,216.03,9.81,64870.48,21967.68,1311.06,3543.17,34.23
107.59,297.66,9.41,6.75,1.68,8.65,8.06,0.94,7517.23,39075.26,9.52,24563.79,17732.66,7724.74,60816.20,28925.42,7172.38,18040.96,320062.37,1077966.28,352489.71,17609.70,1072.14,246527875.35,2716976.73,34.82,7.75,10.35,16.71,36.13,19.42,16.71,87270.21,9180.83,302.43,1480.78,10.72
162.77,77.05,10.41,3.41,4.24,7.85,1.81,5.03,8010.45,42956.88,9.28,16189.44,12422.97,9677.30,48310.75,37479.88,7108.94,18052.32,454979.07,1328516.74,135922.37,7516.67,517.18,110532648.96,2095439.14,27.22,4.41,13.15,9.66,50.49,40.83,9.66,91384.04,3653.17,118.43,589.22,5.17
418.29,89.84,10.52,4.96,6.57,7.16,3.49,3.94,8141.62,42528.39,7.12,28184.00,19790.95,8159.84,47451.96,30418.87,5785.16,18348.24,537472.46,1656064.27,380603.77,19921.60,1287.28,294710278.12,4521604.25,32.21,5.96,15.60,10.65,68.07,57.43,10.65,92336.11,10054.24,354.89,1621.65,12.87
260.76,270.75,14.84,3.76,4.16,5.28,1.18,3.76,4597.09,44356.62,5.76,17825.49,15903.85,9493.21,40533.47,29729.68,5989.37,19768.39,662950.80,1188989.86,373985.90,21423.87,1528.99,263205601.15,4449667.76,30.14,4.76,18.93,6.45,82.20,75.74,6.45,69716.04,10167.02,666.75,1639.84,15.29
311.77,400.78,10.65,8.69,7.67,1.50,0.59,7.79,4722.41,43888.35,8.41,28946.82,21426.38,8769.70,45160.95,27819.58,7099.32,23314.17,302999.89,1536882.22,1812010.12,82872.33,4418.29,944465267.69,7651605.75,41.13,9.69,29.36,2.09,191.84,189.75,2.09,76089.24,46004.55,1180.01,7420.09,44.18
300.67,79.44,16.00,5.54,2.39,6.59,5.36,2.99,4940.99,36253.10,7.16,27791.70,11928.72,10991.13,57897.80,25726.67,5635.43,22191.39,278883.96,1794783.57,377684.22,17486.86,951.42,191733732.06,3906805.97,30.71,6.54,12.21,11.95,48.57,36.62,11.95,74449.76,9622.11,225.57,1551.95,9.51
423.45,311.00,15.92,9.66,2.01,6.57,6.19,8.40,6354.52,45851.55,5.77,28351.11,18438.92,9426.48,36772.41,38687.93,6162.75,16432.84,486293.50,1348137.00,2718715.61,114308.12,5195.94,1430460871.52,6890627.94,54.15,10.66,30.74,12.75,221.36,208.61,12.75,77408.93,67463.85,1243.69,10881.27,51.96
173.48,375.50,10.63,1.48,1.72,7.85,1.80,5.43,6514.96,43296.92,8.56,29704.01,15183.35,10333.11,53427.71,40414.95,7276.31,18149.51,699479.42,996304.54,139216.45,11908.97,1131.16,183331333.34,3581489.36,33.03,2.48,20.90,9.65,108.99,99.34,9.65,81009.47,4396.68,615.19,709.14,11.31
317.82,149.12,10.81,6.99,6.42,7.61,3.71,1.87,4465.10,34358.50,5.07,23566.61,19417.14,10559.44,40901.42,30004.10,6818.42,23541.64,555228.06,1422829.61,515624.15,25247.81,1495.23,279177174.44,4362703.15,33.01,7.99,13.69,11.33,47.63,36.30,11.33,72445.60,13350.16,447.58,2153.25,14.95
236.53,335.27,14.20,3.73,5.90,4.74,9.44,5.58,5262.49,33410.81,8.90,23160.28,17134.13,9957.63,50277.68,35901.45,7397.82,17033.43,582583.70,1077422.24,475980.29,26787.30,1877.50,314066117.83,4273308.28,41.35,4.73,22.44,14.18,126.39,112.21,14.18,68927.10,12865.22,748.89,2075.04,18.78
326.36,100.19,11.09,4.50,1.74,2.08,6.33,8.04,8936.31,44661.58,6.15,22515.96,21840.35,6610.03,64896.77,36761.24,6254.27,18041.59,375579.59,825547.02,411050.37,21124.36,1334.42,321446827.42,2102552.23,35.01,5.50,21.09,8.41,108.26,99.85,8.41,97680.74,10797.73,308.80,1741.57,13.34
428.57,318.37,12.22,2.33,7.65,1.64,6.29,5.90,8625.55,35320.05,7.03,29837.89,11316.94,9369.81,64828.05,25833.47,7083.71,24777.53,721840.30,1031920.60,349475.87,26372.76,2336.35,459840939.97,5368672.27,38.58,3.33,27.32,7.93,162.63,154.70,7.93,103837.40,10489.04,1288.56,1691.78,23.36
69.56,337.09,11.30,1.49,9.89,5.29,1.25,4.07,4303.41,38466.52,8.02,24569.98,17319.84,10948.62,63298.91,25831.14,7394.12,23907.51,335642.28,907915.94,87052.09,6238.43,534.71,78643929.40,1958049.18,22.80,2.49,13.76,6.55,53.16,46.62,6.55,73011.59,2561.28,221.42,413.11,5.35
206.72,309.09,12.93,7.37,7.51,9.02,6.64,2.98,6415.59,31433.02,5.79,28208.19,18181.62,10559.42,46815.06,37049.41,6097.56,20430.84,749496.76,933062.29,770664.13,36253.28,2022.99,444021293.86,3321939.36,41.14,8.37,17.11,15.66,75.38,59.73,15.66,81147.85,19722.80,603.43,3181.10,20.23
515.82,300.38,14.29,4.53,8.39,2.84,6.00,3.94,6894.52,55128.28,6.64,16975.43,17978.74,7391.04,57685.38,43312.94,7483.71,21831.65,311914.77,1591874.71,723833.82,42086.38,3048.07,671120781.47,8825392.58,39.96,5.53,25.59,8.84,125.49,116.65,8.84,90836.25,19774.50,1463.23,3189.44,30.48
56.34,476.52,12.13,7.48,0.07,3.51,6.53,8.14,7342.15,51618.68,6.03,21452.05,19383.90,10560.91,52286.62,25823.39,7368.48,17716.16,751260.79,1584750.22,857837.51,37564.60,1853.32,533095502.91,3657118.39,38.93,8.48,20.41,10.04,101.63,91.59,10.04,87249.07,21519.77,253.52,3470.93,18.53
223.82,343.30,15.89,6.85,0.45,5.30,8.67,7.41,5171.50,31667.70,6.10,20745.35,18804.08,9739.10,50837.61,33186.88,6226.79,16620.33,337571.98,1176319.88,1182359.42,53349.05,2779.25,540650198.00,4592471.92,46.79,7.85,24.97,13.97,156.13,142.16,13.97,66959.68,29905.57,725.61,4823.48,27.79
313.36,483.85,15.05,7.75,8.17,3.81,7.15,7.11,8297.05,40371.92,5.10,19410.20,14897.16,11326.02,40653.87,26516.94,7239.08,22087.55,580124.00,1345339.65,1937932.20,88255.42,4671.62,1306814592.29,7378223.93,49.84,8.75,30.14,10.95,203.47,192.52,10.95,98205.16,49143.06,1431.87,7926.30,46.72
106.64,427.12,10.58,1.98,6.18,5.75,1.95,6.50,6243.15,41612.93,8.05,16630.81,13516.00,6331.86,42511.51,32186.36,5731.57,21568.39,719299.79,915449.85,177368.68,12369.63,1040.72,172558871.23,2751785.82,31.11,2.98,20.43,7.70,105.13,97.43,7.70,83729.83,5165.53,430.15,833.15,10.41
143.29,496.90,15.34,4.12,9.38,8.04,3.96,1.30,8315.54,39096.45,5.64,21632.61,21621.56,11489.70,43359.36,32665.82,5902.64,22915.77,300576.81,1084964.48,377606.27,21354.16,1504.21,338789488.07,4077585.23,32.41,5.12,15.29,12.00,47.03,35.03,12.00,99402.18,10222.33,672.42,1648.76,15.04
502.88,164.47,13.90,5.65,4.12,7.22,2.87,4.15,4630.42,42332.36,6.92,29320.84,16546.29,11419.32,62386.15,32437.81,5880.60,17710.23,544692.85,1117092.87,725370.83,36538.92,2249.28,411657050.18,4524876.30,37.33,6.65,20.60,10.08,98.97,88.89,10.08,66761.74,18939.56,781.08,3054.77,22.49
96.25,422.50,9.75,2.62,3.44,7.14,8.64,5.84,4173.95,35781.73,5.51,17674.16,16065.16,9980.02,36699.42,43186.46,6671.45,22202.19,600167.20,1754008.23,207107.67,13426.41,1069.90,154784010.83,4981765.64,38.24,3.62,18.84,15.78,99.46,83.68,15.78,68766.45,5873.37,384.03,947.32,10.70
309.09,441.79,15.93,1.60,2.99,8.87,4.31,5.80,7439.36,28869.09,5.73,25649.63,14548.85,9338.51,60702.00,28772.18,7395.30,23068.34,467516.57,1070061.78,297846.88,23297.82,2108.51,370463864.08,5569260.11,42.95,2.60,27.18,13.17,165.71,152.54,13.17,91708.09,9067.22,1289.56,1462.45,21.09
483.11,412.34,15.04,5.35,9.31,9.50,5.85,7.57,7859.67,41276.52,9.96,27256.93,15743.65,11260.27,40340.48,32746.20,6970.62,23957.53,293248.80,1640444.10,1411452.95,73258.55,4685.27,1098624708.18,10312259.08,55.37,6.35,33.68,15.34,248.90,233.55,15.34,98764.30,37189.29,1881.25,5998.27,46.85
211.28,124.88,15.11,6.70,0.71,0.97,9.20,5.10,4252.97,54711.17,6.28,19569.54,19127.03,6167.96,55106.13,34713.43,6909.05,16846.87,630822.59,1365976.91,531517.90,23710.50,1210.52,273419247.76,3125088.61,33.64,7.70,15.77,10.18,70.07,59.90,10.18,64935.67,13401.43,249.17,2161.52,12.11
293.34,200.31,9.11,8.83,8.14,9.11,6.34,9.68,8062.82,51329.92,6.36,25714.29,19754.00,6157.55,38989.55,32881.08,6761.25,19477.09,443192.70,1592915.84,1461595.14,64825.70,3275.23,962628241.28,5438452.61,51.91,9.83,26.64,15.45,174.20,158.75,15.45,94865.23,36793.66,554.92,5934.46,32.75
424.91,476.29,15.08,8.63,5.62,7.41,0.65,8.22,6625.28,34558.63,6.97,27858.26,11689.02,8537.37,68127.59,31802.85,7334.17,19342.15,520159.53,1049176.14,2725334.49,121590.28,6209.15,1490774841.39,6647741.30,52.52,9.63,34.82,8.07,261.61,253.55,8.07,81750.86,68717.70,1911.24,11083.50,62.09
38.13,239.46,9.23,9.86,5.05,9.38,8.25,0.22,4713.73,44702.69,6.35,15890.73,12492.31,8996.38,41832.68,48501.49,5527.05,21692.93,308507.36,989054.06,362383.02,15426.82,719.79,169455931.64,1331110.95,33.61,10.86,5.11,17.63,23.75,6.12,17.63,73494.21,9022.02,86.23,1455.16,7.20
98.12,244.63,12.08,4.75,2.51,1.31,1.55,9.37,7961.92,51875.71,9.60,26622.18,16288.53,11570.91,51620.58,46819.46,6286.47,17107.39,653424.16,1637376.45,413115.83,20194.95,1193.19,300609701.10,3572987.46,30.40,5.75,21.80,2.86,101.30,98.44,2.86,91279.16,10690.88,226.69,1724.34,11.93
475.39,177.51,14.39,2.33,8.89,9.56,6.98,6.78,5312.94,53546.66,7.42,19946.30,20294.63,8445.43,65869.87,33634.78,5583.07,16137.71,437846.31,1643513.31,348527.40,22203.85,1744.68,289190526.19,6724440.48,44.57,3.33,24.70,16.54,154.18,137.64,16.54,71285.72,9823.14,796.95,1584.38,17.45
60.55,222.80,12.02,7.28,5.98,2.03,6.29,0.54,8379.66,49706.50,7.45,23710.32,18369.89,6975.86,37764.69,34610.89,5585.76,18340.51,476204.78,1441710.81,280251.86,12701.13,666.75,194291417.82,2358501.58,23.22,8.28,6.61,8.32,18.03,9.71,8.32,95302.08,7097.15,127.40,1144.70,6.67
308.38,332.73,12.55,3.06,7.27,8.74,3.94,8.54,8350.73,33848.97,8.64,15628.12,14915.24,6074.80,58895.46,31496.40,7272.83,21831.90,443555.76,1781437.61,503625.25,30781.98,2334.96,469087540.85,8037142.18,45.57,4.06,28.82,12.69,199.65,186.97,12.69,97592.95,13991.85,969.00,2256.75,23.35
397.82,264.50,12.19,4.18,1.23,4.26,5.28,6.77,8954.33,37314.78,9.26,29467.73,17464.10,10904.22,50180.97,25092.17,7448.67,17888.36,690035.99,1663409.71,612950.88,35048.31,2496.72,555809273.19,7599734.84,41.09,5.18,26.37,9.55,162.99,153.44,9.55,96758.93,16653.35,993.71,2686.02,24.97
37.85,110.39,15.26,6.95,5.36,5.31,7.16,6.60,7244.09,51031.87,9.93,26480.94,15966.52,10010.68,42193.66,29470.95,6113.97,24817.21,582640.40,1146855.69,277091.94,11724.64,540.19,167797892.46,1044131.98,33.55,7.95,13.14,12.47,42.38,29.91,12.47,97419.75,6887.49,39.46,1110.89,5.40
495.41,287.79,15.93,3.43,0.92,1.33,4.80,0.81,6658.19,32053.59,5.67,18081.60,16301.08,9569.84,47854.14,41711.78,7142.82,22956.92,716735.65,1318207.76,367384.03,25807.36,2182.24,415830138.51,7010389.89,30.65,4.43,20.09,6.13,44.06,37.93,6.13,86627.51,10728.32,1346.42,1730.37,21.82
141.39,226.73,13.29,9.24,5.98,9.39,6.79,7.13,5793.31,31685.06,5.16,27324.30,20412.92,7682.87,55792.10,40824.59,5781.99,22195.35,746376.55,1191682.86,1099065.65,45985.79,2068.46,503818114.08,3005205.52,46.06,10.24,19.65,16.18,104.90,88.72,16.18,79320.09,27237.98,302.75,4393.22,20.68
260.40,83.32,11.80,8.91,0.17,8.75,9.31,9.69,5420.75,41770.76,8.12,24419.78,12170.35,7619.92,35103.41,29874.30,5881.96,20312.64,431401.70,1143458.30,988262.53,41595.01,1894.97,465947839.72,2372241.43,49.87,9.91,21.90,18.06,114.64,96.58,18.06,76177.19,24530.13,204.90,3956.47,18.95
184.85,236.60,13.77,2.93,5.33,3.49,3.49,9.07,8137.64,41080.62,8.76,16065.53,21374.14,10957.66,63384.84,39841.98,6545.07,16992.92,315662.72,1092047.39,339280.36,18816.45,1298.63,269394638.37,3216640.59,34.98,3.93,24.07,6.98,136.05,129.06,6.98,90319.05,9127.18,413.03,1472.13,12.99
342.99,98.70,15.25,6.53,5.61,4.89,7.94,1.83,7980.75,33682.75,7.44,17738.77,19796.52,7664.81,51365.10,31843.47,5584.51,16698.14,654269.32,1430923.93,486252.23,22403.91,1209.24,304441989.31,3708082.81,32.30,7.53,11.94,12.83,43.06,30.23,12.83,87292.80,12371.00,319.69,1995.32,12.09
101.33,157.91,10.08,6.23,1.01,0.53,8.40,4.14,8264.22,52472.91,9.98,17083.43,15564.47,7171.36,45093.93,35925.95,5666.79,18332.72,444099.27,1119651.31,285130.12,13680.15,786.63,209584486.77,1994844.63,28.69,7.23,12.53,8.93,47.97,39.04,8.93,95346.86,7338.60,151.12,1183.65,7.87
284.14,252.50,15.03,3.22,9.15,5.54,3.44,6.61,4233.13,48515.39,5.74,26244.28,20071.99,10394.49,48473.12,49859.29,7396.71,23558.80,405469.02,1014235.20,428604.45,24248.90,1708.89,297514852.09,3826276.70,36.52,4.22,23.31,8.98,133.10,124.12,8.98,73433.55,11604.59,677.54,1871.71,17.09
